"species","date1","date2","d","t1","t2","id","svl1","svl2","dsvl","sex","pop"
"Alytes cisternasii","20/04/2018","04/05/2018",14,109,123,"AC09028",39.27,41.26,1.98999999999999,"Male","Gravera"
"Alytes cisternasii","14/03/2022","24/03/2022",10,72,82,"AC09073",46,46,0,"Unknown","Gravera"
"Alytes cisternasii","18/04/2015","02/03/2018",1049,107,1156,"AC09102",49,43.31,-5.69,"Unknown","Gravera"
"Alytes cisternasii","02/03/2018","17/03/2021",1111,60,1171,"AC09102",43.31,47,3.69,"Unknown","Gravera"
"Alytes cisternasii","15/06/2017","02/03/2018",260,165,425,"AC09106",45,36.6,-8.4,"Male","Gravera"
"Alytes cisternasii","30/03/2016","21/09/2019",1270,89,1359,"AC09108",41,44,3,"Male","Gravera"
"Alytes cisternasii","12/05/2017","02/04/2018",325,131,456,"AC09119",44,38.47,-5.53,"Male","Gravera"
"Alytes cisternasii","02/04/2018","04/05/2018",32,91,123,"AC09119",38.47,37.54,-0.93,"Male","Gravera"
"Alytes cisternasii","04/04/2018","14/12/2020",985,93,1078,"AC09124",42.21,48,5.79,"Female","Gravera"
"Alytes cisternasii","14/12/2020","11/02/2021",59,348,407,"AC09124",48,48,0,"Female","Gravera"
"Alytes cisternasii","11/02/2021","21/02/2023",740,41,781,"AC09124",48,47,-1,"Female","Gravera"
"Alytes cisternasii","30/03/2016","19/04/2018",750,89,839,"AC09129",42,38.48,-3.52,"Male","Gravera"
"Alytes cisternasii","30/03/2016","04/04/2018",735,89,824,"AC09130",41,36.2,-4.8,"Male","Gravera"
"Alytes cisternasii","04/04/2018","14/12/2020",985,93,1078,"AC09130",36.2,46,9.8,"Male","Gravera"
"Alytes cisternasii","14/12/2020","14/03/2022",455,348,803,"AC09130",46,44,-2,"Male","Gravera"
"Alytes cisternasii","14/03/2022","24/03/2022",10,72,82,"AC09130",44,45,1,"Male","Gravera"
"Alytes cisternasii","24/03/2022","21/02/2023",334,82,416,"AC09130",45,44,-1,"Male","Gravera"
"Alytes cisternasii","21/02/2023","23/05/2023",91,51,142,"AC09130",44,46,2,"Male","Gravera"
"Alytes cisternasii","23/05/2023","06/06/2024",380,142,522,"AC09130",46,45,-1,"Male","Gravera"
"Alytes cisternasii","20/04/2017","19/04/2018",364,109,473,"AC09142",39,34.74,-4.26,"Male","Gravera"
"Alytes cisternasii","19/04/2018","20/04/2018",1,108,109,"AC09142",34.74,35.5,0.759999999999998,"Male","Gravera"
"Alytes cisternasii","20/04/2018","21/09/2019",519,109,628,"AC09142",35.5,42,6.5,"Male","Gravera"
"Alytes cisternasii","28/01/2020","08/02/2024",1472,27,1499,"AC09144",48,49,1,"Female","Gravera"
"Alytes cisternasii","11/02/2021","20/10/2022",616,41,657,"AC09149",49,49,0,"Female","Gravera"
"Alytes cisternasii","20/10/2022","15/09/2023",330,292,622,"AC09149",49,51,2,"Female","Gravera"
"Alytes cisternasii","15/09/2023","08/02/2024",146,257,403,"AC09149",51,49,-2,"Female","Gravera"
"Alytes cisternasii","20/04/2018","21/09/2019",519,109,628,"AC09153",37.38,45,7.62,"Unknown","Gravera"
"Alytes cisternasii","21/09/2019","20/12/2019",90,263,353,"AC09153",45,45,0,"Unknown","Gravera"
"Alytes cisternasii","20/12/2019","14/04/2021",481,353,834,"AC09153",45,46,1,"Unknown","Gravera"
"Alytes cisternasii","14/04/2021","14/03/2022",334,103,437,"AC09153",46,46,0,"Unknown","Gravera"
"Alytes cisternasii","14/03/2022","21/02/2023",344,72,416,"AC09153",46,45,-1,"Unknown","Gravera"
"Alytes cisternasii","02/04/2018","12/02/2019",316,91,407,"AC09154",38.44,46,7.56,"Female","Gravera"
"Alytes cisternasii","28/01/2020","18/06/2020",142,27,169,"AC09156",50,49,-1,"Female","Gravera"
"Alytes cisternasii","13/12/2022","08/06/2023",177,346,523,"AC09157",46,48,2,"Male","Gravera"
"Alytes cisternasii","20/04/2018","14/04/2021",1090,109,1199,"AC09159",33.52,46,12.48,"Unknown","Gravera"
"Alytes cisternasii","02/03/2018","22/04/2018",51,60,111,"AC09161",36.33,34.87,-1.46,"Female","Gravera"
"Alytes cisternasii","22/04/2018","10/09/2018",141,111,252,"AC09161",34.87,39.78,4.91,"Female","Gravera"
"Alytes cisternasii","10/09/2018","28/01/2020",505,252,757,"AC09161",39.78,46,6.22,"Female","Gravera"
"Alytes cisternasii","28/01/2020","26/11/2020",303,27,330,"AC09161",46,47,1,"Female","Gravera"
"Alytes cisternasii","26/11/2020","11/02/2021",77,330,407,"AC09161",47,46,-1,"Female","Gravera"
"Alytes cisternasii","02/04/2018","11/12/2018",253,91,344,"AC09163",36.5,47,10.5,"Male","Gravera"
"Alytes cisternasii","02/04/2018","04/04/2018",2,91,93,"AC09164",38.27,39.61,1.34,"Male","Gravera"
"Alytes cisternasii","04/04/2018","10/06/2020",798,93,891,"AC09165",38.87,52,13.13,"Female","Gravera"
"Alytes cisternasii","10/06/2020","20/10/2022",862,161,1023,"AC09165",52,50,-2,"Female","Gravera"
"Alytes cisternasii","19/04/2018","26/05/2023",1863,108,1971,"AC09166",42.22,54,11.78,"Female","Gravera"
"Alytes cisternasii","26/05/2023","08/06/2023",13,145,158,"AC09166",54,54,0,"Female","Gravera"
"Alytes cisternasii","20/04/2018","04/05/2018",14,109,123,"AC09167",41.09,40.86,-0.230000000000004,"Female","Gravera"
"Alytes cisternasii","20/04/2018","21/04/2018",1,109,110,"AC09168",39.57,39.62,0.0499999999999972,"Unknown","Gravera"
"Alytes cisternasii","21/04/2018","14/12/2020",968,110,1078,"AC09168",39.62,46,6.38,"Unknown","Gravera"
"Alytes cisternasii","20/04/2018","10/09/2018",143,109,252,"AC09170",45.16,45.71,0.550000000000004,"Female","Gravera"
