"Species","Date","Pop","ID","Sex","SVL","Date_metamorph","age"
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",10,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",16,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",16,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",16,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",10,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",11,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",17,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",11,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",16,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",16,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",16,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",15,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",17,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",11,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",12,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",17,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",14,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","18/05/2018","Laguna","","Juvenile",13,"01/05/2018",0.046575342
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",15,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",17,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",14,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",14,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",16,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",18,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",16,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",16,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",19,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",19,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",17,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",18,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",20,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",18,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",18,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",21,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",18,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",17,"01/05/2018",0.101369863
"Epidalea calamita","07/06/2018","Laguna","","Juvenile",20,"01/05/2018",0.101369863
