"Species","ID","Pop","Sex","SVL_mm","year","years_from_mark"
"Pleurodeles waltl","PW090705","Laguna","Male",122,2013,0
"Pleurodeles waltl","PW090706","Laguna","Male",114,2013,0
"Pleurodeles waltl","PW090706","Laguna","Male",103,2018,5
"Pleurodeles waltl","PW090707","Laguna","Male",105,2013,0
"Pleurodeles waltl","PW090707","Laguna","Male",105,2021,8
"Pleurodeles waltl","PW090707","Laguna","Male",103,2022,9
"Pleurodeles waltl","PW090708","Laguna","Female",122.5,2013,0
"Pleurodeles waltl","PW090709","Laguna","Male",95,2013,0
"Pleurodeles waltl","PW090709","Laguna","Male",93,2022,9
"Pleurodeles waltl","PW090710","Laguna","Male",98,2013,0
"Pleurodeles waltl","PW090711","Laguna","Male",120,2013,0
"Pleurodeles waltl","PW090712","Laguna","Male",102,2013,0
"Pleurodeles waltl","PW090712","Laguna","Male",100,2022,9
"Pleurodeles waltl","PW090713","Laguna","Male",109,2013,0
"Pleurodeles waltl","PW090713","Laguna","Male",115,2015,2
"Pleurodeles waltl","PW090714","Laguna","Male",97,2013,0
"Pleurodeles waltl","PW090715","Laguna","Male",87,2013,0
"Pleurodeles waltl","PW090716","Laguna","Male",98,2013,0
"Pleurodeles waltl","PW090717","Laguna","Male",107,2013,0
"Pleurodeles waltl","PW090717","Laguna","Male",108,2018,5
"Pleurodeles waltl","PW090718","Laguna","Male",92,2013,0
"Triturus marmoratus","TM09113","Laguna","Male",59,2013,0
"Triturus marmoratus","TM09114","Laguna","Female",69,2013,0
"Triturus marmoratus","TM09115","Laguna","Male",67,2013,0
"Triturus marmoratus","TM09116","Laguna","Male",66.5,2013,0
"Epidalea calamita","BC090398","Laguna","Female",51,2013,0
"Epidalea calamita","BC090398","Laguna","Female",68,2015,2
"Epidalea calamita","BC090399","Laguna","Male",64,2013,0
"Epidalea calamita","BC090400","Laguna","Male",64.25,2013,0
"Pleurodeles waltl","PW090216","Laguna","Male",113,2013,0
"Pleurodeles waltl","PW090216","Laguna","Male",113,2016,3
"Pleurodeles waltl","PW090216","Laguna","Male",98,2018,5
"Pleurodeles waltl","PW090229","Laguna","Female",110,2013,0
"Pleurodeles waltl","PW090241","Laguna","Male",100.5,2013,0
"Pleurodeles waltl","PW090264","Laguna","Male",107,2013,0
"Pleurodeles waltl","PW090301","Laguna","Male",108.5,2013,0
"Pleurodeles waltl","PW090324","Laguna","Male",118,2013,0
"Pleurodeles waltl","PW090340","Laguna","Male",107,2013,0
"Pleurodeles waltl","PW090417","Laguna","Male",105,2013,0
"Pleurodeles waltl","PW090492","Laguna","Male",102.5,2013,0
"Pleurodeles waltl","PW090498","Laguna","Male",113,2013,0
"Pleurodeles waltl","PW090533","Laguna","Male",109,2013,0
"Pleurodeles waltl","PW090533","Laguna","Male",117,2016,3
"Pleurodeles waltl","PW090550","Laguna","Male",113,2013,0
"Pleurodeles waltl","PW090550","Laguna","Male",115,2016,3
"Pleurodeles waltl","PW090667","Laguna","Male",115,2013,0
"Pleurodeles waltl","PW090677","Laguna","Male",106,2013,0
"Pleurodeles waltl","PW090678","Laguna","Male",115,2013,0
"Pleurodeles waltl","PW090690","Laguna","Male",104,2013,0
"Pleurodeles waltl","PW090697","Laguna","Male",99,2013,0
"Pleurodeles waltl","PW090700","Laguna","Male",102.5,2013,0
"Triturus marmoratus","TM09029","Laguna","Male",64,2013,0
"Epidalea calamita","BC090055","Laguna","Male",75,2013,0
"Epidalea calamita","BC090055","Laguna","Male",80,2014,1
"Epidalea calamita","BC090182","Laguna","Male",68.25,2013,0
"Epidalea calamita","BC090182","Laguna","Male",75,2014,1
"Epidalea calamita","BC090182","Laguna","Male",80,2015,2
"Epidalea calamita","BC090182","Laguna","Male",85,2016,3
"Epidalea calamita","BC090276","Laguna","Female",52,2013,0
"Epidalea calamita","BC090276","Laguna","Female",75,2015,2
"Epidalea calamita","BC090276","Laguna","Female",76,2016,3
"Epidalea calamita","BC090322","Laguna","Male",74,2013,0
"Epidalea calamita","BC090365","Laguna","Juvenile",58,2013,0
"Epidalea calamita","BC090372","Laguna","Male",73.5,2013,0
"Epidalea calamita","BC090372","Laguna","Male",86,2014,1
"Epidalea calamita","BC090392","Laguna","Male",70.5,2013,0
"Epidalea calamita","BC090394","Laguna","Juvenile",47.5,2013,0
"Pleurodeles waltl","PW090719","Laguna","Male",100,2013,0
"Pleurodeles waltl","PW090720","Laguna","Male",108,2013,0
"Pleurodeles waltl","PW090720","Laguna","Male",111,2015,2
"Pleurodeles waltl","PW090721","Laguna","Male",111,2013,0
"Pleurodeles waltl","PW090722","Laguna","Female",78,2013,0
"Pleurodeles waltl","PW090722","Laguna","Female",105,2018,5
"Pleurodeles waltl","PW090723","Laguna","Male",79,2013,0
"Pleurodeles waltl","PW090724","Laguna","Male",110,2013,0
"Pleurodeles waltl","PW090724","Laguna","Male",113,2016,3
"Pleurodeles waltl","PW090724","Laguna","Male",109,2018,5
"Pleurodeles waltl","PW090725","Laguna","Juvenile",54,2013,0
"Triturus marmoratus","TM09117","Laguna","Male",72,2013,0
"Triturus marmoratus","TM09118","Laguna","Male",59,2013,0
"Pleurodeles waltl","PW090136","Laguna","Juvenile",97,2013,0
"Pleurodeles waltl","PW090320","Laguna","Male",112,2013,0
"Pleurodeles waltl","PW090320","Laguna","Male",100,2018,5
"Pleurodeles waltl","PW090320","Laguna","Male",100,2021,8
"Pleurodeles waltl","PW090337","Laguna","Male",112,2013,0
"Pleurodeles waltl","PW090642","Laguna","Juvenile",74,2013,0
"Pleurodeles waltl","PW090726","Laguna","Male",97,2013,0
"Pleurodeles waltl","PW090727","Laguna","Female",106,2013,0
"Pleurodeles waltl","PW090728","Laguna","Male",93,2013,0
"Pleurodeles waltl","PW090729","Laguna","Male",92,2013,0
"Pleurodeles waltl","PW090729","Laguna","Male",110,2015,2
"Pleurodeles waltl","PW090729","Laguna","Male",104,2022,9
"Pleurodeles waltl","PW090730","Laguna","Male",98,2013,0
"Pleurodeles waltl","PW090730","Laguna","Male",105,2021,8
"Pleurodeles waltl","PW090731","Laguna","Juvenile",62,2013,0
"Pleurodeles waltl","PW090732","Laguna","Male",90,2013,0
"Pleurodeles waltl","PW090732","Laguna","Male",100,2018,5
"Pleurodeles waltl","PW090733","Laguna","Female",113,2013,0
"Pleurodeles waltl","PW090733","Laguna","Female",118,2022,9
"Pleurodeles waltl","PW090734","Laguna","Female",99,2013,0
"Pleurodeles waltl","PW090734","Laguna","Female",113,2022,9
"Pleurodeles waltl","PW090734","Laguna","Female",121,2023,10
"Pleurodeles waltl","PW090735","Laguna","Male",97,2013,0
"Pleurodeles waltl","PW090736","Laguna","Female",96,2013,0
"Pleurodeles waltl","PW090737","Laguna","Female",102,2013,0
"Pleurodeles waltl","PW090738","Laguna","Male",99,2013,0
"Pleurodeles waltl","PW090739","Laguna","Male",91,2013,0
"Pleurodeles waltl","PW090740","Laguna","Female",90,2013,0
"Triturus marmoratus","TM09119","Laguna","Female",73,2013,0
"Triturus marmoratus","TM09120","Laguna","Female",66,2013,0
"Triturus marmoratus","TM09121","Laguna","Female",71,2013,0
"Triturus marmoratus","TM09122","Laguna","Male",64,2013,0
"Triturus marmoratus","TM09123","Laguna","Male",58,2013,0
"Epidalea calamita","BC090401","Laguna","Juvenile",59,2013,0
"Epidalea calamita","BC090402","Laguna","Female",81,2013,0
"Epidalea calamita","BC090403","Laguna","Male",66,2013,0
"Epidalea calamita","BC090404","Laguna","Male",70,2013,0
"Epidalea calamita","BC090405","Laguna","Male",64,2013,0
"Epidalea calamita","BC090405","Laguna","Male",80,2015,2
"Epidalea calamita","BC090406","Laguna","Male",73,2013,0
"Epidalea calamita","BC090406","Laguna","Male",77,2014,1
"Epidalea calamita","BC090406","Laguna","Male",79.5,2015,2
"Epidalea calamita","BC090407","Laguna","Male",66,2013,0
"Epidalea calamita","BC090408","Laguna","Male",80,2013,0
"Pelobates cultripes","PC090316","Laguna","Female",82,2013,0
"Pelobates cultripes","PC090317","Laguna","Female",83,2013,0
"Pelobates cultripes","PC090319","Laguna","Male",77,2013,0
"Pleurodeles waltl","PW090232","Laguna","Male",104,2013,0
"Pleurodeles waltl","PW090232","Laguna","Male",117,2015,2
"Pleurodeles waltl","PW090232","Laguna","Male",117,2016,3
"Pleurodeles waltl","PW090250","Laguna","Male",97,2013,0
"Pleurodeles waltl","PW090290","Laguna","Male",101,2013,0
"Pleurodeles waltl","PW090315","Laguna","Juvenile",88,2013,0
"Pleurodeles waltl","PW090328","Laguna","Female",105,2013,0
"Pleurodeles waltl","PW090336","Laguna","Female",111,2013,0
"Pleurodeles waltl","PW090354","Laguna","Female",100,2013,0
"Pleurodeles waltl","PW090354","Laguna","Female",115,2015,2
"Pleurodeles waltl","PW090451","Laguna","Male",103,2013,0
"Pleurodeles waltl","PW090500","Laguna","Male",105.5,2013,0
"Pleurodeles waltl","PW090500","Laguna","Male",110,2016,3
"Pleurodeles waltl","PW090500","Laguna","Male",100,2021,8
"Pleurodeles waltl","PW090501","Laguna","Female",119,2013,0
"Pleurodeles waltl","PW090591","Laguna","Male",108,2013,0
"Pleurodeles waltl","PW090595","Laguna","Male",95.5,2013,0
"Pleurodeles waltl","PW090699","Laguna","Male",110,2013,0
"Epidalea calamita","BC090006","Laguna","Male",90,2013,0
"Epidalea calamita","BC090062","Laguna","Male",82,2013,0
"Epidalea calamita","BC090151","Laguna","Male",76.75,2013,0
"Epidalea calamita","BC090167","Laguna","Female",78,2013,0
"Epidalea calamita","BC090263","Laguna","Male",54,2013,0
"Epidalea calamita","BC090274","Laguna","Male",63,2013,0
"Epidalea calamita","BC090327","Laguna","Male",78,2013,0
"Epidalea calamita","BC090349","Laguna","Male",65,2013,0
"Epidalea calamita","BC090375","Laguna","Male",62.5,2013,0
"Epidalea calamita","BC090375","Laguna","Male",72,2014,1
"Epidalea calamita","BC090375","Laguna","Male",75,2015,2
"Epidalea calamita","BC090375","Laguna","Male",82,2016,3
"Epidalea calamita","BC090375","Laguna","Male",79,2017,4
"Epidalea calamita","BC090375","Laguna","Male",85,2020,7
"Epidalea calamita","BC090375","Laguna","Male",83,2021,8
"Epidalea calamita","BC090375","Laguna","Male",80,2022,9
"Epidalea calamita","BC090375","Laguna","Male",86.5,2024,11
"Pelobates cultripes","PC090053","Laguna","Male",78,2013,0
"Discoglossus galganoi","DJ09031","El_Pardo","Male",57,2013,0
"Discoglossus galganoi","DJ09035","El_Pardo","Female",46,2013,0
"Discoglossus galganoi","DJ09037","El_Pardo","Female",49,2013,0
"Discoglossus galganoi","DJ09040","El_Pardo","Male",52,2013,0
"Discoglossus galganoi","DJ09041","El_Pardo","Female",52,2013,0
"Discoglossus galganoi","DJ09042","El_Pardo","Female",48,2013,0
"Epidalea calamita","BC090409","Laguna","Female",83,2013,0
"Epidalea calamita","BC090410","Laguna","Male",72.75,2013,0
"Epidalea calamita","BC090410","Laguna","Male",80,2015,2
"Epidalea calamita","BC090410","Laguna","Male",84,2016,3
"Epidalea calamita","BC090410","Laguna","Male",85,2017,4
"Epidalea calamita","BC090410","Laguna","Male",84,2018,5
"Epidalea calamita","BC090410","Laguna","Male",87,2020,7
"Epidalea calamita","BC090411","Laguna","Male",85.5,2013,0
"Epidalea calamita","BC090412","Laguna","Male",73.5,2013,0
"Epidalea calamita","BC090412","Laguna","Male",76,2014,1
"Epidalea calamita","BC090412","Laguna","Male",86.5,2017,4
"Epidalea calamita","BC090413","Laguna","Male",80.5,2013,0
"Epidalea calamita","BC090414","Laguna","Male",71,2013,0
"Epidalea calamita","BC090414","Laguna","Male",78,2014,1
"Epidalea calamita","BC090414","Laguna","Male",82,2015,2
